year,comuna,hour,weekday,month,count
2010,2,17,0,12,2
2010,2,17,1,3,1
2010,2,17,1,7,1
2010,2,17,1,11,2
2010,2,17,2,2,1
2010,2,17,2,3,1
2010,2,17,2,4,1
2010,2,17,2,5,2
2010,2,17,2,7,2
2010,2,17,2,8,3
2010,2,17,2,11,1
2010,2,17,2,12,1
2010,2,17,3,6,1
2010,2,17,3,11,1
2010,2,17,4,1,1
2010,2,17,4,2,1
2010,2,17,4,6,1
2010,2,17,4,7,1
2010,2,17,4,9,2
2010,2,17,4,11,1
2010,2,17,5,1,1
2010,2,17,5,10,1
2010,2,17,5,11,1
2010,2,17,5,12,2
2010,2,17,6,9,1
2010,2,17,6,10,1
2010,2,17,6,12,2
2010,2,18,0,1,1
2010,2,18,0,2,1
2010,2,18,0,7,1
2010,2,18,0,8,1
2010,2,18,0,10,2
2010,2,18,1,1,1
2010,2,18,1,6,2
2010,2,18,1,8,1
2010,2,18,1,9,2
2010,2,18,1,10,1
2010,2,18,1,11,1
2010,2,18,2,1,1
2010,2,18,2,3,1
2010,2,18,2,4,1
2010,2,18,2,5,2
2010,2,18,2,9,1
2010,2,18,3,1,1
2010,2,18,3,3,1
2010,2,18,3,4,1
2010,2,18,3,5,2
2010,2,18,3,7,3
2010,2,18,3,8,1
2010,2,18,4,6,1
2010,2,18,4,7,2
2010,2,18,4,9,3
2010,2,18,4,10,1
2010,2,18,4,12,1
2010,2,18,5,3,1
2010,2,18,5,4,1
2010,2,18,5,5,2
2010,2,18,5,8,1
2010,2,18,5,9,1
2010,2,18,5,10,1
2010,2,18,5,12,1
2010,2,18,6,11,1
2010,2,18,6,12,1
2010,2,19,0,3,1
2010,2,19,0,4,1
2010,2,19,0,9,1
2010,2,19,0,11,1
2010,2,19,0,12,1
2010,2,19,1,2,3
2010,2,19,1,3,1
2010,2,19,1,6,2
2010,2,19,1,7,1
2010,2,19,1,8,1
2010,2,19,2,1,1
2010,2,19,2,2,1
2010,2,19,2,8,1
2010,2,19,2,11,1
2010,2,19,2,12,1
2010,2,19,3,1,1
2010,2,19,3,6,1
2010,2,19,3,11,1
2010,2,19,3,12,1
2010,2,19,4,1,1
2010,2,19,4,5,2
2010,2,19,4,6,1
2010,2,19,4,7,1
2010,2,19,4,9,1
2010,2,19,4,10,1
2010,2,19,4,11,1
2010,2,19,5,2,1
2010,2,19,5,5,2
2010,2,19,5,7,1
2010,2,19,5,10,1
2010,2,19,6,4,1
2010,2,19,6,10,1
2010,2,19,6,12,1
2010,2,20,0,5,1
2010,2,20,0,9,1
2010,2,20,1,2,1
2010,2,20,1,5,1
2010,2,20,1,9,3
2010,2,20,1,10,1
2010,2,20,1,12,1
2010,2,20,2,6,2
2010,2,20,2,9,1
2010,2,20,3,1,1
2010,2,20,3,2,1
2010,2,20,3,3,1
2010,2,20,3,4,3
2010,2,20,3,5,2
2010,2,20,3,7,1
2010,2,20,3,9,1
2010,2,20,3,12,1
2010,2,20,4,2,1
2010,2,20,4,3,1
2010,2,20,4,5,1
2010,2,20,4,6,1
2010,2,20,4,12,1
2010,2,20,5,3,1
2010,2,20,5,4,1
2010,2,20,5,7,2
2010,2,20,5,9,2
2010,2,20,6,1,1
2010,2,20,6,7,1
2010,2,20,6,9,2
2010,2,21,0,1,1
2010,2,21,0,3,1
2010,2,21,1,2,1
2010,2,21,1,11,1
2010,2,21,2,2,2
2010,2,21,2,5,3
2010,2,21,2,6,1
2010,2,21,2,8,1
2010,2,21,2,9,1
2010,2,21,3,3,1
2010,2,21,3,4,1
2010,2,21,3,6,1
2010,2,21,3,7,2
2010,2,21,3,11,1
2010,2,21,3,12,2
2010,2,21,4,1,1
2010,2,21,4,4,3
2010,2,21,4,5,2
2010,2,21,4,6,1
2010,2,21,4,7,1
2010,2,21,5,7,1
2010,2,21,5,8,1
2010,2,21,5,9,1
2010,2,21,5,10,1
2010,2,21,5,11,1
2010,2,21,5,12,1
2010,2,21,6,11,1
2010,2,22,2,1,1
2010,2,22,2,9,1
2010,2,22,2,10,1
2010,2,22,3,2,1
2010,2,22,3,4,1
2010,2,22,3,5,1
2010,2,22,3,6,1
2010,2,22,3,7,1
2010,2,22,4,3,1
2010,2,22,4,11,1
2010,2,22,5,1,1
2010,2,22,5,7,1
2010,2,22,5,10,1
2010,2,22,5,12,2
2010,2,22,6,3,1
2010,2,22,6,10,1
2010,2,23,1,4,1
2010,2,23,2,3,1
2010,2,23,2,6,2
2010,2,23,3,12,2
2010,2,23,4,1,1
2010,2,23,4,10,1
2010,2,23,4,11,1
2010,2,23,5,3,1
2010,2,23,5,4,1
2010,2,23,5,8,1
2010,2,23,5,9,1
2010,2,23,5,12,1
2010,2,23,6,3,1
2010,3,0,0,6,2
2010,3,0,0,8,1
2010,3,0,0,10,1
2010,3,0,1,5,3
2010,3,0,1,6,2
2010,3,0,1,7,1
2010,3,0,1,8,3
2010,3,0,1,9,1
2010,3,0,1,10,2
2010,3,0,2,7,1
2010,3,0,2,9,1
2010,3,0,2,10,3
2010,3,0,2,11,2
2010,3,0,2,12,1
2010,3,0,3,6,2
2010,3,0,3,7,2
2010,3,0,3,8,1
2010,3,0,3,9,1
2010,3,0,3,10,2
2010,3,0,3,12,1
2010,3,0,4,1,1
2010,3,0,4,3,1
2010,3,0,4,7,2
2010,3,0,4,8,1
2010,3,0,4,10,1
2010,3,0,5,4,2
2010,3,0,5,5,1
2010,3,0,5,6,2
2010,3,0,5,7,1
2010,3,0,5,10,1
2010,3,0,5,12,1
2010,3,0,6,1,1
2010,3,0,6,4,1
2010,3,0,6,6,2
2010,3,0,6,7,1
2010,3,1,0,3,1
2010,3,1,0,11,1
2010,3,1,0,12,1
2010,3,1,1,10,1
2010,3,1,2,10,2
2010,3,1,3,3,1
2010,3,1,3,8,1
2010,3,1,4,1,1
2010,3,1,5,1,1
2010,3,1,5,4,1
2010,3,1,5,6,1
2010,3,1,5,7,1
2010,3,1,5,12,1
2010,3,1,6,1,1
2010,3,1,6,2,1
2010,3,1,6,6,3
2010,3,2,1,8,1
2010,3,2,5,3,1
2010,3,2,5,5,1
2010,3,2,6,5,1
2010,3,2,6,6,1
2010,3,3,0,4,1
2010,3,3,3,4,1
2010,3,3,4,4,1
2010,3,3,5,3,1
2010,3,3,5,8,1
2010,3,3,6,4,1
2010,3,3,6,5,2
2010,3,3,6,11,2
2010,3,3,6,12,1
2010,3,4,0,3,1
2010,3,4,2,7,1
2010,3,4,3,1,1
2010,3,4,4,10,1
2010,3,4,5,10,1
2010,3,4,6,3,1
2010,3,4,6,5,1
2010,3,4,6,10,1
2010,3,5,0,5,1
2010,3,5,0,8,1
2010,3,5,1,9,1
2010,3,5,2,10,1
2010,3,5,4,9,1
2010,3,5,5,2,2
2010,3,5,5,12,1
2010,3,5,6,1,1
2010,3,5,6,4,1
2010,3,6,0,4,2
2010,3,6,1,2,1
2010,3,6,1,3,1
2010,3,6,1,5,1
2010,3,6,2,12,1
2010,3,6,3,8,1
2010,3,6,4,1,1
2010,3,6,4,11,1
2010,3,6,5,7,1
2010,3,6,5,12,1
2010,3,6,6,5,1
2010,3,7,0,1,1
2010,3,7,0,4,1
2010,3,7,0,10,1
2010,3,7,0,12,1
2010,3,7,1,2,1
2010,3,7,2,2,1
2010,3,7,2,4,2
2010,3,7,2,8,1
2010,3,7,2,9,1
2010,3,7,2,10,1
2010,3,7,3,12,2
2010,3,7,4,4,1
2010,3,7,5,4,1
2010,3,7,5,10,1
2010,3,7,6,9,1
2010,3,8,0,3,1
2010,3,8,0,6,1
2010,3,8,0,10,1
2010,3,8,0,11,1
2010,3,8,1,6,2
2010,3,8,1,8,1
2010,3,8,1,10,1
2010,3,8,2,2,1
2010,3,8,2,7,2
2010,3,8,3,3,2
2010,3,8,3,5,1
2010,3,8,3,6,1
2010,3,8,3,8,1
2010,3,8,3,10,1
2010,3,8,4,5,1
2010,3,8,4,9,1
2010,3,8,4,12,2
2010,3,8,5,6,1
2010,3,8,5,8,1
2010,3,8,6,10,1
2010,3,9,0,1,1
2010,3,9,0,2,1
2010,3,9,0,4,2
2010,3,9,0,6,1
2010,3,9,0,8,1
2010,3,9,0,9,1
2010,3,9,0,10,1
2010,3,9,0,11,1
2010,3,9,1,1,1
2010,3,9,1,2,2
2010,3,9,1,6,2
2010,3,9,1,8,1
2010,3,9,1,9,3
2010,3,9,1,10,2
2010,3,9,1,11,3
2010,3,9,1,12,2
2010,3,9,2,1,2
2010,3,9,2,2,1
2010,3,9,2,5,1
2010,3,9,2,7,1
2010,3,9,2,9,1
2010,3,9,3,3,1
2010,3,9,3,4,2
2010,3,9,3,5,2
2010,3,9,3,7,1
2010,3,9,3,8,2
2010,3,9,3,9,1
2010,3,9,3,11,3
2010,3,9,3,12,1
2010,3,9,4,1,1
2010,3,9,4,2,3
2010,3,9,4,4,1
2010,3,9,4,7,2
2010,3,9,4,8,1
2010,3,9,4,9,1
2010,3,9,4,10,1
2010,3,9,5,2,1
2010,3,9,5,4,1
2010,3,9,5,8,2
2010,3,9,5,9,3
2010,3,9,5,11,1
2010,3,9,5,12,1
2010,3,9,6,3,1
2010,3,9,6,8,1
2010,3,9,6,9,1
2010,3,9,6,10,1
2010,3,9,6,12,2
2010,3,10,0,3,3
2010,3,10,0,5,1
2010,3,10,0,7,3
2010,3,10,0,8,1
2010,3,10,0,9,1
2010,3,10,0,10,1
2010,3,10,0,11,1
2010,3,10,0,12,1
2010,3,10,1,4,1
2010,3,10,1,6,3
2010,3,10,1,8,3
2010,3,10,1,10,2
2010,3,10,1,12,1
2010,3,10,2,1,1
2010,3,10,2,2,1
2010,3,10,2,3,2
2010,3,10,2,4,1
2010,3,10,2,6,2
2010,3,10,2,8,1
2010,3,10,2,10,1
2010,3,10,2,11,1
2010,3,10,2,12,3
2010,3,10,3,3,1
2010,3,10,3,5,1
2010,3,10,3,6,2
2010,3,10,3,8,2
2010,3,10,3,9,2
2010,3,10,3,10,1
2010,3,10,3,12,1
2010,3,10,4,1,1
2010,3,10,4,2,2
2010,3,10,4,3,1
2010,3,10,4,4,1
2010,3,10,4,5,1
2010,3,10,4,6,1
2010,3,10,4,7,1
2010,3,10,4,8,1
2010,3,10,4,10,2
2010,3,10,4,11,2
2010,3,10,5,1,1
2010,3,10,5,3,1
2010,3,10,5,7,2
2010,3,10,5,8,1
2010,3,10,5,9,1
2010,3,10,5,10,1
2010,3,10,6,1,1
2010,3,10,6,6,2
2010,3,10,6,9,2
2010,3,11,0,1,1
2010,3,11,0,2,1
2010,3,11,0,3,2
2010,3,11,0,5,1
2010,3,11,0,7,1
2010,3,11,0,8,2
2010,3,11,0,10,2
2010,3,11,0,12,1
2010,3,11,1,2,3
2010,3,11,1,3,2
2010,3,11,1,8,1
2010,3,11,1,10,1
2010,3,11,1,11,2
2010,3,11,1,12,1
2010,3,11,2,1,1
2010,3,11,2,4,2
2010,3,11,2,5,1
2010,3,11,2,6,1
2010,3,11,2,8,1
2010,3,11,2,9,2
2010,3,11,2,10,1
2010,3,11,3,1,1
2010,3,11,3,4,2
2010,3,11,3,5,1
2010,3,11,3,6,1
2010,3,11,3,8,1
2010,3,11,3,9,2
2010,3,11,3,10,1
2010,3,11,3,12,1
2010,3,11,4,1,1
2010,3,11,4,2,1
2010,3,11,4,5,1
2010,3,11,4,6,4
2010,3,11,4,7,2
2010,3,11,4,9,1
2010,3,11,4,10,2
